label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,0,0,0,-0.051507413,-0.014685035,-0.005274258,-0.099665701,-0.056507587,-0.011436995,-0.135980785,-0.076080978,-0.020806974,-0.158253789,-0.1069628,-0.029301078,-0.083855689,-0.185716629,0.002185206,-0.122203231,-0.217214376,-0.024634459,-0.14333427,-0.185254186,-0.046910722,-0.149387121,-0.147543222,-0.057814342,-0.069605231,-0.21502766,-0.006951937,-0.101739824,-0.302422792,-0.02135454,-0.121553898,-0.362193227,-0.030892939,-0.134856105,-0.415063098,-0.036165111,-0.045492411,-0.222511351,-0.020478318,-0.068049252,-0.312897891,-0.035256547,-0.083493531,-0.372033447,-0.040708978,-0.096556365,-0.42598626,-0.042524376,-0.01531595,-0.210394144,-0.035314881,-0.013342738,-0.289512068,-0.047602762,-0.013332546,-0.348441839,-0.048901938,-0.015136838,-0.40407756,-0.047788445
0,0,0,0,-0.05128777,-0.018116593,-0.006238938,-0.097682059,-0.058770001,-0.013647091,-0.133172274,-0.079126,-0.024307068,-0.155597627,-0.11031872,-0.034304391,-0.081829131,-0.187662154,0.001298208,-0.118701756,-0.218679398,-0.026539134,-0.140563011,-0.188047349,-0.049627006,-0.147674501,-0.150885791,-0.060936771,-0.066039145,-0.217053145,-0.007939842,-0.095946074,-0.304623455,-0.022457255,-0.114926159,-0.364197046,-0.031863827,-0.128366768,-0.417487696,-0.036953267,-0.040395021,-0.224159628,-0.021752864,-0.061044991,-0.31599465,-0.036937073,-0.076047242,-0.376256764,-0.041985944,-0.088820219,-0.431143612,-0.043423544,-0.009664655,-0.210225403,-0.036983803,-0.005763173,-0.288940907,-0.049871676,-0.003863335,-0.348253399,-0.050803747,-0.003369451,-0.404901102,-0.049179587
0,0,0,0,-0.049601614,-0.016790152,-0.005080963,-0.097025573,-0.060447097,-0.010840586,-0.132745504,-0.08154881,-0.019728441,-0.153475702,-0.113798738,-0.027766649,-0.080604792,-0.191456884,0.002563719,-0.117262363,-0.220040053,-0.024387235,-0.139024258,-0.190235049,-0.046977897,-0.146128178,-0.153688192,-0.058125027,-0.065569401,-0.220494121,-0.006772584,-0.096825063,-0.307660848,-0.020780819,-0.115254045,-0.367907584,-0.030045731,-0.127488077,-0.421153575,-0.035101839,-0.040605903,-0.227339149,-0.020525203,-0.061974823,-0.320006102,-0.035475564,-0.076360226,-0.380051553,-0.040779129,-0.088676572,-0.434900954,-0.042444494,-0.010039151,-0.213585198,-0.035551396,-0.005846143,-0.292315483,-0.048447393,-0.003593147,-0.351419836,-0.049840391,-0.003301978,-0.408009633,-0.04863789
0,0,0,0,-0.050998747,-0.019598722,-0.006349946,-0.097344935,-0.061748922,-0.013809032,-0.132698059,-0.082836628,-0.024586806,-0.15494144,-0.116204858,-0.034619236,-0.082100689,-0.190027237,0.001485693,-0.118917286,-0.220712155,-0.026894029,-0.140802205,-0.191167533,-0.050308859,-0.147590458,-0.154384673,-0.061640268,-0.066833675,-0.219367951,-0.007550182,-0.096618116,-0.306599885,-0.022220392,-0.115383685,-0.366777807,-0.03139169,-0.128278017,-0.420274436,-0.036222084,-0.041561246,-0.226661503,-0.021289615,-0.062102914,-0.319361091,-0.036838243,-0.076882124,-0.379731461,-0.041868692,-0.089149714,-0.434287697,-0.043074926,-0.011179447,-0.213235289,-0.036467729,-0.00665164,-0.29240194,-0.049938848,-0.004653335,-0.352190286,-0.051288782,-0.003949165,-0.408814833,-0.049752379
0,0,0,0,-0.05479157,-0.01566124,-0.002931017,-0.101906419,-0.05831939,-0.007906447,-0.137414038,-0.078961551,-0.016916989,-0.156596243,-0.114867389,-0.025145749,-0.084597051,-0.188483268,0.006709221,-0.122406244,-0.220290571,-0.019763586,-0.142900825,-0.187234521,-0.041658938,-0.148049474,-0.148193151,-0.05213568,-0.068596959,-0.217134744,-0.003943273,-0.100572467,-0.304873437,-0.017764792,-0.120074868,-0.365424752,-0.02700303,-0.133566618,-0.419050246,-0.032113888,-0.043767512,-0.224216908,-0.019242531,-0.064370811,-0.313679546,-0.033858963,-0.079530656,-0.373395145,-0.03916058,-0.092339396,-0.427024335,-0.040908989,-0.013887227,-0.212071955,-0.035767958,-0.010247946,-0.291840315,-0.048313752,-0.008679688,-0.351022989,-0.049752761,-0.00860256,-0.406821504,-0.048734054
0,0,0,0,-0.053176939,-0.016009629,-0.004402828,-0.101251066,-0.060931027,-0.009786506,-0.137183726,-0.082588136,-0.018761179,-0.157848656,-0.116554499,-0.027046119,-0.084153891,-0.189675242,0.004238254,-0.121641695,-0.222396195,-0.022488785,-0.14309299,-0.19062829,-0.044984671,-0.149698853,-0.152198195,-0.056077684,-0.068362832,-0.21851179,-0.00565843,-0.099648178,-0.307203293,-0.019740729,-0.1197052,-0.367097318,-0.029888562,-0.133692026,-0.420245767,-0.035805269,-0.043596029,-0.225622922,-0.020050668,-0.064394236,-0.317253083,-0.034804801,-0.079629421,-0.377304584,-0.040709319,-0.092532635,-0.432016447,-0.04302899,-0.013780713,-0.213051558,-0.035728893,-0.010490656,-0.29349649,-0.048438861,-0.008494794,-0.353587866,-0.050028349,-0.007992387,-0.41063638,-0.049178238
0,0,0,0,-0.052578807,-0.016443789,-0.004376191,-0.098864615,-0.059282243,-0.010291692,-0.134676814,-0.079338491,-0.01995854,-0.156238854,-0.111210942,-0.028861706,-0.082946956,-0.18717438,0.004563657,-0.12001884,-0.215528339,-0.022867134,-0.142342925,-0.184510052,-0.045210846,-0.148955882,-0.147013396,-0.055799552,-0.067056119,-0.21774891,-0.00544553,-0.098182023,-0.304864705,-0.019282016,-0.11789155,-0.365351617,-0.027230239,-0.131462574,-0.418263271,-0.031191257,-0.042206645,-0.225794852,-0.020221776,-0.06200546,-0.317389518,-0.034520973,-0.077687442,-0.376572311,-0.037782543,-0.091258883,-0.429012597,-0.03795914,-0.012821138,-0.213846713,-0.036484764,-0.009278953,-0.292414039,-0.049804688,-0.008524001,-0.352131158,-0.05087847,-0.00922811,-0.408710346,-0.04911257
0,0,0,0,-0.050407052,-0.016930938,-0.005811203,-0.097359657,-0.060794771,-0.012122745,-0.133320332,-0.081063688,-0.021737635,-0.155529022,-0.112508833,-0.030678856,-0.08273375,-0.190000802,0.003134821,-0.119274139,-0.217268139,-0.023860947,-0.141473949,-0.18812564,-0.046155466,-0.148651719,-0.152624547,-0.057038198,-0.067099392,-0.220766217,-0.006235539,-0.09833622,-0.305460423,-0.020304144,-0.11740911,-0.365732908,-0.028869383,-0.130527675,-0.418896049,-0.033272626,-0.04199636,-0.22841543,-0.020290859,-0.061059713,-0.318702996,-0.035394123,-0.07582885,-0.378466308,-0.039519789,-0.089034736,-0.43246071,-0.040221343,-0.01232928,-0.214143783,-0.035810439,-0.007819533,-0.291200906,-0.049358683,-0.006204963,-0.350252658,-0.050331122,-0.006388485,-0.406334594,-0.048558535
0,0,0,0,-0.052527785,-0.017778993,-0.005817058,-0.099528015,-0.060054421,-0.012576809,-0.1353001,-0.079705358,-0.022733406,-0.15626055,-0.112727463,-0.032300356,-0.083152473,-0.188404053,0.002964642,-0.119940162,-0.216632277,-0.023939549,-0.141938329,-0.186768234,-0.046002842,-0.148750901,-0.150242895,-0.056680887,-0.067277431,-0.218661278,-0.006437614,-0.097946107,-0.304931909,-0.02052463,-0.117687285,-0.364545107,-0.029271315,-0.131732225,-0.418120667,-0.033851917,-0.042179465,-0.226325333,-0.020489212,-0.061200857,-0.318833947,-0.035790819,-0.075870812,-0.379342616,-0.040639869,-0.088944972,-0.433724135,-0.041872538,-0.012676299,-0.21240887,-0.035915844,-0.007812321,-0.289738655,-0.049564164,-0.006132782,-0.34874332,-0.050895176,-0.006254196,-0.404830456,-0.049459718
0,0,0,0,-0.051214695,-0.015068352,-0.00727867,-0.098445952,-0.056568801,-0.014876834,-0.134637952,-0.078231812,-0.025567073,-0.157178342,-0.110995173,-0.035569861,-0.083427489,-0.185614586,0.001085307,-0.11968565,-0.217476606,-0.025120414,-0.141414344,-0.188487887,-0.046326484,-0.148361921,-0.151741087,-0.056511714,-0.067465246,-0.216996908,-0.007733321,-0.09825182,-0.304063678,-0.021578125,-0.117754579,-0.362817496,-0.030188778,-0.13153863,-0.415181398,-0.034821264,-0.042054117,-0.225019395,-0.021174082,-0.061113,-0.316518724,-0.036400154,-0.075232327,-0.376889408,-0.041450358,-0.087749183,-0.430889308,-0.042950071,-0.011894166,-0.211302161,-0.036062139,-0.007438481,-0.290191859,-0.049127589,-0.005005002,-0.349597335,-0.050256129,-0.004380822,-0.405459434,-0.048923816
